"Date","Data","Trend","Seasonal12","Seasonal12.1","Seasonal15","Remainder"
2007-08-01,5.606218608,22.8122824713804,-12.5974197800781,1.55095359693055e-07,-0.759908481689396,-3.8487357567083
2007-09-01,0,22.6769589141899,-13.434406965328,1.55095360548522e-07,1.73308483928544,-10.9756369432427
2007-10-01,19.58603205,22.5416353569995,-8.79937188524737,1.55095355853864e-07,-6.96691054820209,12.8106789713546
2007-11-01,47.60052387,22.406311799809,6.33635061389846,1.5509536609468e-07,-0.727006062539293,19.5848673637365
2007-12-01,69.57445587,22.29263592911,24.5484191869713,1.55095364237039e-07,-1.86298433418068,24.5963849330039
2008-01-01,70.42171729,22.178960058411,25.9504874205995,1.55095382038276e-07,4.85090914135245,17.4413605145417
2008-02-01,21.14986478,22.065284187712,6.35335001030158,1.55095385242062e-07,3.40613244507238,-10.6749020181813
2008-03-01,25.51686199,21.7999016748694,15.1302810872878,1.55095404345829e-07,4.34753676078806,-15.7608576880407
2008-04-01,8.798190261,21.5345191620269,-3.73763995188052,1.55095374211204e-07,-7.31755037718455,-1.68113872705717
2008-05-01,1.628193833,21.2691366491843,-11.6918602544015,1.55095358169472e-07,-0.16631545337852,-7.78276726349965
2008-06-01,0,20.2458913291677,-13.9982799570099,1.55095341651766e-07,-0.815790743749699,-5.43182078350348
2008-07-01,0,19.2226460091511,-14.0599076639689,1.55095340380792e-07,0.186901113031838,-5.34963961330938
2008-08-01,0,18.1994006891345,-12.5974197800781,1.55095359693055e-07,-4.75235986954102,-0.849621194610716
2008-09-01,0,17.7658178336903,-13.434406965328,1.55095360548522e-07,-1.57701510772101,-2.75439591573662
2008-10-01,15.47076229,17.332234978246,-8.79937188524737,1.55095355853864e-07,10.4212769539244,-3.48337791201844
2008-11-01,42.46209041,16.8986521228018,6.33635061389846,1.5509536609468e-07,-0.759908481689396,19.9869959998937
2008-12-01,62.74341067,16.7286682176444,24.5484191869713,1.55095364237039e-07,1.73308483928544,19.7332382710035
2009-01-01,9.418895001,16.5586843124869,25.9504874205995,1.55095382038276e-07,-6.96691054820209,-26.1233663389797
2009-02-01,26.36412342,16.3887004073295,6.35335001030158,1.55095385242062e-07,-0.727006062539293,4.34907890981285
2009-03-01,38.64941402,15.6482340058847,15.1302810872878,1.55095404345829e-07,-1.86298433418068,9.73388310591284
2009-04-01,10.63683329,14.9077676044399,-3.73763995188052,1.55095374211204e-07,4.85090914135245,-5.38420365900715
2009-05-01,0.522650084,14.1673012029951,-11.6918602544015,1.55095358169472e-07,3.40613244507238,-5.35892346476132
2009-06-01,0.522650084,13.6388987678114,-13.9982799570099,1.55095341651766e-07,4.34753676078806,-3.46550564268491
2009-07-01,0,13.1104963326277,-14.0599076639689,1.55095340380792e-07,-7.31755037718455,8.26696155343041
2009-08-01,0.522650084,12.582093897444,-12.5974197800781,1.55095359693055e-07,-0.16631545337852,0.704291264917215
2009-09-01,0,12.6860558740821,-13.434406965328,1.55095360548522e-07,-0.815790743749699,1.56414167990027
2009-10-01,0,12.7900178507201,-8.79937188524737,1.55095355853864e-07,0.186901113031838,-4.17754723359992
2009-11-01,0,12.8939798273581,6.33635061389846,1.5509536609468e-07,-4.75235986954102,-14.4779707268109
2009-12-01,9.418895001,13.0013791168504,24.5484191869713,1.55095364237039e-07,-1.57701510772101,-26.5538883501961
2010-01-01,76.77617795,13.1087784063427,25.9504874205995,1.55095382038276e-07,10.4212769539244,27.295635014038
2010-02-01,9.418895001,13.216177695835,6.35335001030158,1.55095385242062e-07,-0.759908481689396,-9.39072437854259
2010-03-01,44.58024396,13.5425112112172,15.1302810872878,1.55095404345829e-07,1.73308483928544,14.1743666671142
2010-04-01,11.53704855,13.8688447265993,-3.73763995188052,1.55095374211204e-07,-6.96691054820209,8.37275416838793
2010-05-01,0.522650084,14.1951782419814,-11.6918602544015,1.55095358169472e-07,-0.727006062539293,-1.25366199613601
2010-06-01,0.522650084,14.8588060975746,-13.9982799570099,1.55095341651766e-07,-1.86298433418068,1.52510812252054
2010-07-01,0,15.5224339531679,-14.0599076639689,1.55095340380792e-07,4.85090914135245,-6.31343558564678
2010-08-01,0.784664841,16.1860618087611,-12.5974197800781,1.55095359693055e-07,3.40613244507238,-6.21010978785075
2010-09-01,8.798190261,16.3533382728337,-13.434406965328,1.55095360548522e-07,4.34753676078806,1.53172203761087
2010-10-01,2.640803635,16.5206147369063,-8.79937188524737,1.55095355853864e-07,-7.31755037718455,2.23711100543026
2010-11-01,11.53704855,16.6878912009789,6.33635061389846,1.5509536609468e-07,-0.16631545337852,-11.3208779665942
