"Date","Data","Trend","Seasonal12","Seasonal13","Seasonal15","Remainder"
2007-08-01,5.606218608,20.7049101920698,-5.49987316277591,-4.1434898401813,-4.69770742398557,-0.757621157127044
2007-09-01,0,20.6719859278313,-6.26522855633959,-6.57774561459507,1.77290402667618,-9.60191578357284
2007-10-01,19.58603205,20.6390616635928,-2.34294821453187,5.57729761734091,-9.44778119622088,5.16040217981906
2007-11-01,47.60052387,20.6061373993543,8.91819285774081,15.3459616998329,1.15172803348979,1.57850387958225
2007-12-01,69.57445587,20.5726637989039,25.1194650662909,6.94418769945713,-1.10651734483051,18.0446566501785
2008-01-01,70.42171729,20.5391901984536,22.4916162080202,11.383273882029,9.81208042422722,6.19555657727005
2008-02-01,21.14986478,20.5057165980033,1.0934081746224,8.88300413608472,4.00855636115442,-13.3408204898648
2008-03-01,25.51686199,20.4147874572514,8.94633564849676,-3.58359984464383,11.4624645015623,-11.7231257726667
2008-04-01,8.798190261,20.3238583164996,-11.1807375780627,2.27441982851689,-5.33218422182359,2.71283391586984
2008-05-01,1.628193833,20.2329291757477,-16.8385361626213,-10.3523628139283,4.86198519219871,3.72417844160321
2008-06-01,0,19.760483405211,-14.1518799116932,-5.06929667536013,-2.88108162926303,2.34177481110536
2008-07-01,0,19.2880376346743,-10.289816065819,-15.3461310427222,-0.936703907099246,7.28461338096616
2008-08-01,0,18.8155918641376,-5.49987316277591,-5.33552106763993,-8.65016351434801,0.669965880626261
2008-09-01,0,18.373244575143,-6.26522855633959,-4.1434898401813,-7.60458674742632,-0.359939431195773
2008-10-01,15.47076229,17.9308972861484,-2.34294821453187,-6.57774561459507,7.58700824696283,-1.12644941398431
2008-11-01,42.46209041,17.4885499971538,8.91819285774081,5.57729761734091,-4.69770742398557,15.17575736175
2008-12-01,62.74341067,16.9857831637255,25.1194650662909,15.3459616998329,1.77290402667618,3.51929671347456
2009-01-01,9.418895001,16.4830163302972,22.4916162080202,6.94418769945713,-9.44778119622088,-27.0521440405536
2009-02-01,26.36412342,15.9802494968689,1.0934081746224,11.383273882029,1.15172803348979,-3.24453616701001
